author,Submission_date,slug,country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details
,,,Saint Kitts and Nevis,KNA,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 50% by 2030,2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (lowering trade barriers; standards and labelling),5,Market mechanisms to meet part of NDC target,3,The National Conservation and Environmental Protection Act,1,No co-benefits of mitigation mentioned
,,,Saint Vincent and the Grenadines,VCT,1,Business as usual,5,NDC claims to be consistent with 1.5°C limit,1,no (partial) costs mentioned,3,Focus area: produce 50% of national annual needs from geothermal,3,"Focus area: reduce energy consumption by 15% (Buildings, efficient lighting)",3,Focus area,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation, reduction of deforestation and forest degradation",2,Considered,2,"Considered (CH4, N2O, HFCs)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: technical capacity ,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,4,Energy Action Plan; Nationally Appropriate Mitigation Action (NAMA); National Climate Change Policy,1,No co-benefits of mitigation mentioned
,,,Samoa,WSM,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 100% by 2025,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of electric appliances; standards and labelling),3,Use/intention to use market mechanisms,3,"Samoa Energy Sector Plan 2012 – 2016; Strategy for Development for Samoa; Electricity Act 2010;  Greenhouse Gas Abatement Strategy; Climate Change Policy 2007; draft Energy Efficiency Act; ""policy level actions"" under the National Energy Coordinating Committee; Strategy for Development of Samoa (SDS) 2012-16",1,No co-benefits of mitigation mentioned
,,,San Marino,SMR,2,Absolute target: 20% GHG emissions reduction compared to 2005 by 2030,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered (Solar power),2,Considered (buildings),1,Not indicated,1,Not indicated,2,Considered: introduction of new technologies,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Sao Tome and Principe,STP,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,059 billion US$",3,"Focus area: increase RE share to 47% by 2030 (Solar power, hydropower)",2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Saudi Arabia,SAU,5,Policies and Actions (Adaptation with mitigation co-benefits),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power, geothermal energy, waste-to-energy)",3,"Focus area (buildings, transport)",2,Considered,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,5,Contextualises (Response measures); and action related to fossil fuel production (Cleaner production; Shift to natural gas; Economic diversification; CCS for enhanced oil recovery),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,3,Other co-benefits: economic diversification
,,,Senegal,SEN,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Serbia,SRB,2,Absolute target: 9.8% GHG emissions reduction compared to 1990 by 2030,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,European Union Climate Legislation,1,No co-benefits of mitigation mentioned
,,,Seychelles,SYC,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,"Considered: increase RE share to 15% by 2030, 100% in the long term",2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered (CH4),1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (lowering trade barriers; standards and labelling),2,Market mechanisms explicitly excluded,3,National Climate Change Strategy,1,No co-benefits of mitigation mentioned
,,,Sierra Leone,SLE,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,9 billion US$",2,"Considered (Solar power, wind power, biomass, hydropower)",2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: source of finance indicated,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Policy on Climate Change; National Strategy on Climate Change; Special Program on Climate Change,1,No co-benefits of mitigation mentioned
,,,Singapore,SGP,3,Intensity target,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,1627 billion US$",2,Considered: increase RE share to 8% by 2030 (Solar power),2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),2,Considered,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,"National Climate Change Strategy (2012)
Sustainable Singapore Blueprint (2015)",1,No co-benefits of mitigation mentioned
,,,Solomon Islands,SLB,1,Business as usual,5,NDC claims to be consistent with 1.5°C limit,1,no (partial) costs mentioned,3,Focus area,3,Focus area,2,Considered,1,Not indicated,1,Not indicated,2,Considered,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Somalia,SOM,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,6,"1380,5 billion US$",3,"Focus area (Solar power, hydropower)",2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,"Considered: land use, sustainable land management",1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,3,Energy Sector Needs Assessment and Action/Investment Programme,1,No co-benefits of mitigation mentioned
,,,South Africa,ZAF,4,Peaking target,3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,1,Not indicated,2,Considered,2,Considered,3,Focus area,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Climate Change Response Policy; Integrated Energy and Electricity Plan,1,No co-benefits of mitigation mentioned
,,,South Korea,KOR,1,Business as usual,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,3,Focus area,3,Focus area (buildings),2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,2,Considered,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,5,Market mechanisms to meet part of NDC target,3,"Framework Act on Low Carbon, Green Growth (2010); National Greenhouse Gas Emissions Reduction Roadmap (2014)",1,No co-benefits of mitigation mentioned
,,,South Sudan,SSD,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Sri Lanka,LKA,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power, biomass, waste-to-energy, hydropower)",3,"Focus area (Industry, transport)",3,"Focus area (avoid/reduce journeys, modal shifting, improve energy efficiency and fuel quality)",1,Not indicated,1,Not indicated,3,"Focus area: increase forest cover, manage deforestation, enrich forest usage",3,Focus area,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,1,not mentioned,4,"Forestry Sector Master Plan 1995-2020, National REDD+ Strategy; Long Term Electricity Generation Expansion Plan 2015- 2032;  National Solid Waste Management Strategy 2000; Readiness Plan for the Implementation of the Intended Nationally Determined Contributions (NDCs) 2017-2019; Technology Needs Assessment and Technology Action Plans for Climate Change Adaptation and Mitigation; Nationally Appropriate Mitigation Action (NAMA) on Energy Generation and End Use Sectors",1,No co-benefits of mitigation mentioned
,,,Sudan,SDN,5,Policies and Actions,2,Mentioning global effort to limit global temperature increase to 2°C,5,"11,68 billion US$",3,Focus area: increase RE share to 20% by 2030,3,"Focus area (efficient lighting, buildings)",1,Not indicated,1,Not indicated,1,Not indicated,2,"Considered: afforestation, reforestation",3,Focus area,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity,3,International trade/trade measures to foster mitigation (standards and labelling),3,Use/intention to use market mechanisms,2,Technology Action Plan,1,No co-benefits of mitigation mentioned
,,,Suriname,SUR,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"2,492 billion US$",3,"Focus area: increase RE share to 25% by 2025 (Solar power, waste-to-energy, hydropower)",2,"Considered (efficient lighting, buildings)",1,Not indicated,1,Not indicated,1,Not indicated,2,Considered: sustainable management of forests,1,Not indicated,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; technical capacity,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,"National climate change policy, strategy and plan",1,No co-benefits of mitigation mentioned
,,,Kingdom of Eswatini,SWZ,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: double RE share by 2030,2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,4,Market mechanisms to meet the conditional contribution only,3,National Climate Change Strategy and Action Plan; National Climate Change Policy; Energy policy,3,Other co-benefits: improving universal energy access and security
,,,Switzerland,CHE,2,Absolute target: 50% GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,3,CO2 Act; CO2 Ordinance; National Climate Policy,1,No co-benefits of mitigation mentioned
,,,Syria,SYR,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,(partial) costs not indicated,3,Focus area: 10% of electricity production by 2030,1,Not indicated,3,Focus area,1,Not indicated,3,Focus area,3,Focus area,3,Focus area,1,Not indicated,5,Contextualises (Background information); and action related to fossil fuel production (Continued production),2,Considered,1,"Not quantified, no mitigation target",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Market mechanisms not mentioned,1,No reference,1,No co-benefits of mitigation mentioned
,,,Tajikistan,TJK,2,"Absolute target: limiting GHG emissions to (80-90)% of 1990 levels by 2030, (65-75)% by 2030 (conditional)",2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,1,Not indicated,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Action Plan of the Republic of Tajikistan on Climate Change Mitigation (2003); National Development Strategy of the Republic of Tajikistan until 2015,1,No co-benefits of mitigation mentioned
,,,United Republic of Tanzania,TZA,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,6,60 billion US$,3,"Focus area (Solar power, wind power, biomass, geothermal)",3,Focus area,3,"Focus area (Air, railways, maritime, road)",1,Not indicated,1,Not indicated,3,Focus area,3,Focus area,1,Not indicated,2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; ,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Climate Change Strategy; Zanzibar Climate Change Strategy;  Renewable Energy Strategy; National REDD+ Strategy and Action Plan,1,No co-benefits of mitigation mentioned
,,,Thailand,THA,1,Business as usual (Policies and Actions),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: increase RE share to 30% by 2036,2,Considered: reduce energy intensity by 30% by 2036,2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",2,REDD+ mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Climate Change Master Plan (2015-2050); Power Development Plan (2015-2036); Thailand Smart Grid Development Master Plan (2015-2036); Energy Efficiency Plan (2015-2036); Alternative Energy Development Plan (2015-2036); Environmentally Sustainable Transport System Plan (2013-2030),1,No co-benefits of mitigation mentioned
,,,Timor Leste,TLS,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,3,"Focus area (total RE potential mentioned (450 MW), no targets mentioned)",3,"Focus area (clean cookstoves, transport, end users)",2,Considered,1,Not indicated,3,Focus area,3,Focus area,3,Focus area,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"quantified, no mitigation target",2,REDD+ mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,Rural Energy Policy,3,"Other co-benefits: public health, positive socio-econmic and environmental impact)"
,,,Togo,TGO,1,Business as usual (Adaptation with mitigation co-benefits),2,Mentioning global effort to limit global temperature increase to 2°C,3,"1,1 billion US$",3,Focus area,3,Focus area (efficient cooking stoves),1,Not indicated,1,Not indicated,2,Considered,2,"Considered: afforestation, sustainable management of forests",1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; source of finance indicated,3,"International trade/trade measures to foster mitigation (lowering trade barriers, regulating imports of vehicles)",3,Use/intention to use market mechanisms,4,National Sustainable Development Strategy (December 2011); National Programme for Reducing Greenhouse Gas Emissions from Deforestation and Forest Degradation (REDD+) 2010-2050; National Energy Efficiency Action Plan (NEEAP),1,No co-benefits of mitigation mentioned
,,,Tonga,TON,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 70% by 2030,3,Focus area,2,Considered,1,Not indicated,2,Considered,2,"Considered: reforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,3,"Tonga National Climate Change Policy;  Tonga Energy Road Map (TERM) 2010-2020; National Forest Policy (2010); Resilient Development Strategy; full list of sectoral policies and assessing the extent to which current Legislation, Policies and Plans are aligned with a Resilient Tonga; Tongan Strategic Development Framework 2015-2025: A more progressive Tonga: Enhancing Our Inheritance (TSDF 2015-2025)",3,"Other co-benefits: job creation, air quality, human health, reduction public health costs"
,,,Trinidad and Tobago,TTO,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,2 billion US$,3,Focus area,3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered (CH4),3,Contextualises fossil fuel production (Background information),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,Carbon Reduction Strategy; National Climate Change Policy,1,No co-benefits of mitigation mentioned
,,,Tunisia,TUN,3,Intensity target,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,5,"17,422 billion US$",3,Focus area: increase RE share to 30% by 2030 (Solar power),2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,2,NAMA,1,No co-benefits of mitigation mentioned
,,,Turkey,TUR,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Turkmenistan,TKM,5,Policies and Actions,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Continued production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Strategy for socio-economic development up to 2030; National Strategy of Turkmenistan on Climate Change,1,No co-benefits of mitigation mentioned
,,,Tuvalu,TUV,2,Absolute target: zero carbon development pathway by 2050,5,NDC claims to be consistent with 1.5°C limit,2,"0,0376017 billion US$",3,Focus area: increase RE share to 100% by 2025,3,Focus area,2,Considered,1,Not indicated,2,Considered,1,Not indicated,2,Considered,2,Considered (CH4),1,Not applicable (no fossil fuel production),2,Considered: production of biofuels,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,"International trade/trade measures to foster mitigation (standards and labelling, regulating imports of electric appliances)",2,Market mechanisms explicitly excluded,3,"Tuvalu National Energy Policy (TNEP); Majuro Declaration on Climate Leadership (2013); Master Plan for Renewable Energy and Energy Efficiency in Tuvalu (2012-2020); Energy Strategic Action Plan; Master Plan for Renewable Energy and Energy Efficiency (TMPREEE), 2012- 2020; proposed Energy Efficiency Act; Energy Efficiency Regulations, 2015; National Strategic Development Plan; National Climate Change Policy",3,Other co-benefits: economic benefits
,,,United States of America,USA,2,Absolute target: (26-28)% GHG emissions reduction compared to 2005 by 2025,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",4,Action related to fossil fuel production (Cleaner production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,3,Clean Air Act; Energy Policy Act; Energy Independence and Security Act; Executive Order 13693 for Emissions Reduction Targets,1,No co-benefits of mitigation mentioned
,,,Uganda,UGA,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,4,"5,436 billion US$",3,"Focus area: increase RE capacity by 1,100MW by 2030",3,"Focus area (Buildings, efficient cooking stoves)",2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation, agro-forestry, conservation of forests",1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),2,Considered,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,4,Market mechanisms to meet the conditional contribution only,3,National Climate Change Policy; Climate Smart Agriculture Program,4,Both adaptation and other co-benefits: reduce deforestation
,,,Ukraine,UKR,2,Absolute target: limiting GHG emissions to 60% of 1990 levels by 2030 (conditional),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,State Environmental Policy; Sustainable Development Strategy; State-Wide Target Economic Programme for Development of Industry; Transport Strategy; Development Strategy for the Agricultural Sector; State Target Programme of Energy Efficiency; European Parliament Regulation on Fluorinated Greenhouse Gasses,1,No co-benefits of mitigation mentioned
,,,United Arab Emirates,ARE,5,Policies and Actions (Adaptation with mitigation co-benefits),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 24% by 2021,2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered,2,Considered,1,Not indicated,5,Contextualises (Background information); and action related to fossil fuel production (Cleaner production; CCS for enhanced oil recovery),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (standards and labelling),1,Not mentioned,1,No reference to existing mitigation plans or strategies,3,Other co-benefits: economic diversification
,,,Uruguay,URY,3,Intensity target,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,3,"Focus area: increase power generation from wind, solar, biomass; extend high-power voltage supply network; 50 MWth of solar collectors for hot water use",3,Focus area: e.g. 100.000 smart electricity meters by 2025; 30% LED lights in public lighting by 2025; mandatory energy-efficiency labeling for household devices; implementation of Energy Efficiency Certificates in all consumer sectors,3,Focus area: adoption of biofiuels; introduction of mandatory labeling of energy efficiency in light combustion engine vehicles; introduction of electric vehicles (utility and public transport); installing power systems for electric vehicles,1,Not indicated,3,Focus area: adoption of grassland management practices; effluent treatment; introduction intermittent irrigation technology,3,Focus area: e.g. maintenance of native forest area; protection of at least 50% of the peatland area by 2025; avoiding loss of soil organic carbon through natural grassland management,3,Focus area: introduction of methane capture and burning,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),2,Considered for cement production,5,"quantified, mitigation target",3,REDD+ specified: strategies for implementation planned or established,1,Not mentioned,1,Not mentioned,3,"National Climate Change Policy; General law on environmental protection No. 17.283; National Climate change response plan; Law No. 18.195 on the promotion, and regulation of the production, commercialization and utilization of Agrofuels; Law No. 18.308 Land-Use Planning and Sustainable Development; Law No. 18.597 on Efficient Use of Energy;; 2005-2030 Energy policy",2,Adaptation co-benefit: no examples given
,,,Uzbekistan,UZB,3,Intensity target (decrease specific emissions of GHG per unit of GDP by 10% by 2030 compared to 2010),2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,3,Focus area,3,Focus area: Decreasing in GDP energy consumption by approximately 2 times ,2,Considered,1,Not indicated,1,Not indicated,2,Considered,1,Not indicated,2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Cleaner production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,"Presidential Decree “On Measures for Further Development of Alternative Energy Sources”; Presidential Resolution “ On Program of Measures for Reduction in Energy Consumption, Introduction of Energy Saving Technologies in Economy Sectors and Social Sphere for 2015- 2019”",3,Other co-benefits: reduced energy generation costs
,,,Vanuatu,VUT,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,4297 billion US$",3,Focus area: increase RE share to 65% by 2020 and 100% by 2030,3,Focus area: save 15% energy,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,2,International trade/trade measures mentioned,1,Not mentioned,4,National Energy Road Map (NERM) 2013-2020; Scaling Up Renewable Energy in Low Income Countries (SREP) report; Vanuatu’s Renewables Readiness Assessment (RRA) report; planned National Energy Road Map; planned Rural Electrification Nationally Appropriate Mitigation Action (NAMA); Priority and Action Agenda (PAA) 2006- 2015,1,No co-benefits of mitigation mentioned
,,,Venezuela ,VEN,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,"Considered (efficient lighting, air conditioning)",2,Considered,1,Not indicated,2,Considered,2,Considered,2,Considered,1,Not indicated,4,Action related to fossil fuel production (Cleaner production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of electric appliances),1,Not mentioned,3,Energy efficiency law,1,No co-benefits of mitigation mentioned
